Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
UgzlHUrDlzSSiac8Qml4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2021-03-24T16:37:07.612411+00:00,0,,B0Ag3A5PKoY,"{""text"":""Ok I'm sick of them always using situations like this to call for gun control. Get the fuck outta here.""}",
Ugwquj9wKaM43xeTlyR4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2021-03-16T16:37:41.081145+00:00,0,,7Mb_PFyqiOg,"{""text"":""This lady needs to go to PA meetings. Popsicles anonymous.""}",
Ugwbxn2OOtPi1LolDgB4AaABAg.96jtWM0K9ep9KWdd06UK3h,UCsEp7VYQ0e7CbGtEFr7czdw,2021-03-05T19:36:31.48983+00:00,0,Ugwbxn2OOtPi1LolDgB4AaABAg,vSK6UNtdx1A,"{""text"":""Agreed""}",Ugwbxn2OOtPi1LolDgB4AaABAg
UgyuJ4r0Knb26FrsJ7V4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2021-02-11T03:34:24.414303+00:00,0,,Yh6UASPTk4E,"{""text"":""Thanks for the update!  ""},{""text"":""#SaveTheWorld"",""hashtag"":{""hashtagId"":""savetheworld""}}",
UgzaItJ87QUXj3se2sF4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2021-01-19T06:54:19.463541+00:00,0,,3f_emiDClcc,"{""text"":""Sweet! Good to see content still coming from you guys.""}",
Ugx-fOTTcFfqncj0nvx4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-12-14T23:17:09.517813+00:00,0,,gaDbfOmwPa8,"{""text"":""He put in so much time to create 30 seconds of amazing art!!! I'm Subscribing!!""}",
UgykpSP9miohvYK1SJV4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-11-05T21:26:19.419611+00:00,0,,MmB2f6XDfb0,"{""text"":""Once you fluffed the noodles and sauce it it looked like a real challenge""}",
UgyHfaBw-mNZ8sDYDSh4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-11-05T21:23:23.382657+00:00,0,,MmB2f6XDfb0,"{""text"":""I feel like the bowl is overkill""}",
UgyYClwokWxZeWOr_uZ4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-11-04T17:02:45.262189+00:00,0,,uNhmd6yFkjI,"{""text"":""You guys are still my favorite channel plz make more videos. I know I'm not the only one who is missing them.""}",
UgzGi9erOd5QQZdXueh4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-10-10T08:40:48.19427+00:00,0,,h8IFQK8TB6A,"{""text"":""Krissi is a you know what!""}",
